"","X","artist_name1","track_name1","artist_name2","track_name2","song_key1","song_key2","label","artist_name_1","track_name_1","acousticness_1","danceability_1","duration_ms_1","energy_1","instrumentalness_1","key_1","liveness_1","loudness_1","mode_1","speechiness_1","tempo_1","time_signature_1","valence_1","popularity_1","artist_name_2","track_name_2","acousticness_2","danceability_2","duration_ms_2","energy_2","instrumentalness_2","key_2","liveness_2","loudness_2","mode_2","speechiness_2","tempo_2","time_signature_2","valence_2","popularity_2"
"1",4204," Mario","Let Me Love You (Raggaeton Remix)"," Mario","Let Me Love You ","mario let me love you","mario let me love you",1,"Mario","Let Me Love You",0.242,0.67,255053,0.644,0,7,0.0742,-7.189,0,0.0759,94.527,4,0.574,32,"Mario","Let Me Love You",0.242,0.67,255053,0.644,0,7,0.0742,-7.189,0,0.0759,94.527,4,0.574,32
"2",41994,"Ilan Bluestone","Big Ben ","Above & Beyond","Black Room Boy (Above & Beyond Club Mix) ","ilan bluestone big ben","above beyond black room boy",1,"Ilan Bluestone","Big Ben (ABGT268)",0.00176,0.638,331874,0.757,0.868,3,0.396,-8.324,0,0.14,128.026,4,0.211,8,"Above & Beyond","Black Room Boy (Flashback) [ABGT282]",0.00772,0.683,359180,0.71,0.0249,10,0.648,-8.77,0,0.393,128.03,4,0.179,11
"3",73195," Davey Asprey","Fallout "," Markus Schulz","The New World (Davey Asprey Rework) ","davey asprey fallout","markus schulz the new world",1,"Davey Asprey","Fallout (Mix Cut)",0.00142,0.308,92426,0.831,0.792,7,0.555,-8.904,1,0.0456,134.82,4,0.0565,27,"Markus Schulz","The New World (ASOT 863) [Service For Dreamers]",0.012,0.562,258150,0.696,0.964,7,0.14,-12.89,0,0.047,136.003,4,0.059,19
"4",73195," Davey Asprey","Fallout "," Markus Schulz","The New World (Davey Asprey Rework) ","davey asprey fallout","markus schulz the new world",1,"Davey Asprey","Fallout (ASOT 900 - Part 1)",0.000134,0.31,171710,0.715,0.436,6,0.606,-12.8,0,0.0472,133.73,4,0.226,28,"Markus Schulz","The New World (ASOT 863) [Service For Dreamers]",0.012,0.562,258150,0.696,0.964,7,0.14,-12.89,0,0.047,136.003,4,0.059,19
"5",80762,"Jeremy Olander","Crossed  ","Solee","Pink Panther ","jeremy olander crossed","solee pink panther",1,"Jeremy Olander","Crossed",0.000609,0.546,330501,0.864,0.865,1,0.054,-9.08,1,0.0395,122.008,4,0.121,16,"Solee","Pink Panther",0.0313,0.679,511977,0.708,0.898,6,0.127,-8.937,0,0.0455,123.007,4,0.323,5
"6",81722,"Waifs & Strays","Bounce","Huxley","Eastside","waifs strays bounce","huxley eastside",1,"Waifs & Strays","Bounce",4.7e-05,0.799,212683,0.973,0.819,7,0.0622,-6.188,1,0.0529,122.997,4,0.766,10,"Huxley","Eastside",0.0366,0.799,356160,0.861,0.826,7,0.0561,-9.613,1,0.065,125.002,4,0.215,30
"7",81742," Just Her","Electric "," Ben Böhmer","Velvet Rebellion ","just her electric","ben b hmer velvet rebellion",1,"Just Her","Electric",0.00345,0.736,408021,0.741,0.936,8,0.643,-6.924,1,0.0457,120,4,0.0976,3,"Ben Böhmer","Velvet Rebellion",0.00905,0.716,270868,0.845,0.659,11,0.117,-6.98,1,0.0367,121.037,4,0.197,31
"8",82038,"Bensley","Ascension ","Dimension","Raver ","bensley ascension","dimension raver",1,"Bensley","Ascension",0.0104,0.614,237241,0.98,0.312,1,0.183,-4.283,1,0.0724,173.992,4,0.19,16,"Dimension","Raver",0.312,0.674,182069,0.99,1.59e-05,5,0.627,-1.427,1,0.284,86.974,4,0.509,36
"9",82088," Eli Brown","Kingston Crunch "," Michael Calfan","On You (TCTS Remix) ","eli brown kingston crunch","michael calfan on you",1,"Eli Brown","Kingston Crunch",0.000336,0.72,234240,0.993,0.707,1,0.0964,-3.998,1,0.0481,124.99,4,0.296,35,"Michael Calfan","On You",0.0692,0.852,170191,0.716,0.0676,10,0.0679,-5.681,0,0.0503,121.995,4,0.61,47
"10",82527," Michael Calfan","Got You "," Disciples","Atheist ","michael calfan got you","disciples atheist",1,"Michael Calfan","Got You",0.0919,0.732,180750,0.608,0.00429,5,0.117,-9.408,0,0.0342,121.992,4,0.248,59,"Disciples","Atheist",0.000607,0.85,241863,0.59,0.0708,8,0.107,-8.427,1,0.0695,123.012,4,0.184,49
"11",82618,"Patrice Bäumel","Serpent ","Dirty Doering","Dagga ","patrice b umel serpent","dirty doering dagga",1,"Patrice Bäumel","Serpent",0.000826,0.8,470344,0.917,0.929,7,0.109,-10.022,1,0.0475,123.011,4,0.0648,31,"Dirty Doering","Dagga",0.0784,0.783,435426,0.883,0.88,1,0.0662,-10.781,1,0.0359,123.983,4,0.0914,28
"12",82874,"Eli Escobar","City Song Part 2 (Peace, Love And Harmony) (Ron Basejam Remix) ","Brame & Hamo","Roy Keane ","eli escobar city song part 2","brame hamo roy keane",1,"Eli Escobar","City Song Part 2 (Peace, Love and Harmony)",1.98e-05,0.833,414804,0.784,0.708,11,0.294,-9.726,0,0.0506,122.003,4,0.895,17,"Brame & Hamo","Roy Keane",0.000559,0.812,403481,0.881,0.937,10,0.0453,-6.47,0,0.0757,124.003,4,0.579,48
"13",83265," DJ Koze","Pick Up (Edit) "," Peggy Gou","It Makes You Forget (Itgehane) ","dj koze pick up","peggy gou it makes you forget",1,"DJ Koze","Pick Up",1.09e-05,0.712,398151,0.601,0.802,5,0.0982,-8.968,1,0.062,124.912,4,0.513,62,"Peggy Gou","It Makes You Forget (Itgehane)",0.015,0.797,395416,0.922,0.578,0,0.0606,-9.686,1,0.0474,125.001,4,0.583,53
"14",83272," Gorgon City","Motorola (Extended Mix) "," Sonny Fodera","MF ","gorgon city motorola","sonny fodera mf",1,"Gorgon City","Motorola",0.0284,0.792,235200,0.838,0.0444,1,0.148,-6.199,1,0.151,125.007,4,0.534,46,"Sonny Fodera","MF",0.00434,0.808,198094,0.826,0.574,7,0.197,-5.39,0,0.0605,126.028,4,0.722,22
"15",83532,"Friendly Fires","Love Like Waves (Riton Remix) ","ANOTR","Let Me Tell You (Edit) ","friendly fires love like waves","anotr let me tell you",1,"Friendly Fires","Love Like Waves",0.0133,0.647,270507,0.86,0.00016,11,0.136,-5.765,1,0.0433,117.97,4,0.785,57,"ANOTR","Let Me Tell You",0.0181,0.778,187500,0.993,0.512,1,0.0478,-4.597,1,0.0671,128.001,4,0.681,36
"16",84541,"Jon Hopkins","Singularity (ANNA Remix) ","ANNA","Hidden Beauties ","jon hopkins singularity","anna hidden beauties",1,"Jon Hopkins","Singularity",0.00389,0.526,389200,0.776,0.841,1,0.0865,-8.873,1,0.0597,132.996,4,0.0504,52,"ANNA","Hidden Beauties",0.00942,0.796,436376,0.989,0.95,0,0.108,-7.588,1,0.0635,124.979,4,0.0383,44
"17",85030," Les Sympathics De Porto Novo","A Min We Vo Nou We "," Aphex Twin","T69 Collapse ","les sympathics de porto novo a min we vo nou we","aphex twin t69 collapse",1,"Les Sympathics de Porto Novo","A Min We Vo Nou We",0.0465,0.641,376693,0.788,0.41,9,0.627,-10.776,1,0.0398,103.93,4,0.745,0,"Aphex Twin","T69 collapse",0.0113,0.437,322841,0.926,0.791,7,0.0961,-9.758,1,0.0587,152.323,4,0.418,47
"18",85179," Dom Dolla","Take It (Extended Mix) "," George FitzGerald","Burns ","dom dolla take it","george fitzgerald burns",1,"Dom Dolla","Take It",0.0252,0.851,234440,0.74,0.243,0,0.111,-6.126,1,0.0377,123.037,4,0.23,53,"George FitzGerald","Burns",0.32,0.749,253999,0.538,0.855,2,0.0904,-8.96,1,0.034,120.008,4,0.122,50
"19",85180," George FitzGerald","Burns "," Jack Back","(It Happens) Sometimes (Extended Mix) ","george fitzgerald burns","jack back sometimes",1,"George FitzGerald","Burns",0.32,0.749,253999,0.538,0.855,2,0.0904,-8.96,1,0.034,120.008,4,0.122,50,"Jack Back","(It Happens) Sometimes",0.000431,0.833,202276,0.886,0.00451,11,0.11,-6.767,1,0.0573,122.025,4,0.604,70
"20",85186," Fisher","Losing It "," Armin van Buuren","Blah Blah Blah (TRU Concept Remix) ","fisher losing it","armin van buuren blah blah blah",1,"FISHER","Losing It",0.00182,0.76,248036,0.964,0.7,2,0.0974,-5.844,1,0.0576,125,4,0.641,77,"Armin van Buuren","Blah Blah Blah (ASOT 864) [Tune Of The Week]",0.00169,0.551,297480,0.928,0.0842,1,0.826,-11.065,1,0.0756,138.001,4,0.0391,21
"21",85186," Fisher","Losing It "," Armin van Buuren","Blah Blah Blah (TRU Concept Remix) ","fisher losing it","armin van buuren blah blah blah",1,"FISHER","Losing It",0.00182,0.76,248036,0.964,0.7,2,0.0974,-5.844,1,0.0576,125,4,0.641,77,"Armin van Buuren","Blah Blah Blah (AIR250)",0.00774,0.373,182000,0.979,0.000698,5,0.643,-4.648,0,0.102,104.521,3,0.159,12
"22",85186," Fisher","Losing It "," Armin van Buuren","Blah Blah Blah (TRU Concept Remix) ","fisher losing it","armin van buuren blah blah blah",1,"FISHER","Losing It",0.00182,0.76,248036,0.964,0.7,2,0.0974,-5.844,1,0.0576,125,4,0.641,77,"Armin van Buuren","Blah Blah Blah (Mix Cut)",0.00485,0.639,318791,0.941,0.253,0,0.104,-7.746,1,0.165,139.986,4,0.0377,25
"23",85186," Fisher","Losing It "," Armin van Buuren","Blah Blah Blah (TRU Concept Remix) ","fisher losing it","armin van buuren blah blah blah",1,"FISHER","Losing It",0.00182,0.76,248036,0.964,0.7,2,0.0974,-5.844,1,0.0576,125,4,0.641,77,"Armin van Buuren","Blah Blah Blah (Mixed)",0.000155,0.509,206807,0.974,0.0278,0,0.179,-6.56,1,0.135,138.048,4,0.0358,22
"24",85186," Fisher","Losing It "," Armin van Buuren","Blah Blah Blah (TRU Concept Remix) ","fisher losing it","armin van buuren blah blah blah",1,"FISHER","Losing It",0.00182,0.76,248036,0.964,0.7,2,0.0974,-5.844,1,0.0576,125,4,0.641,77,"Armin van Buuren","Blah Blah Blah (AIR240)",0.00668,0.62,266500,0.942,0.0715,5,0.627,-4.92,0,0.107,138.053,4,0.138,4
"25",85186," Fisher","Losing It "," Armin van Buuren","Blah Blah Blah (TRU Concept Remix) ","fisher losing it","armin van buuren blah blah blah",1,"FISHER","Losing It",0.00182,0.76,248036,0.964,0.7,2,0.0974,-5.844,1,0.0576,125,4,0.641,77,"Armin van Buuren","Blah Blah Blah",0.00897,0.612,183519,0.963,0.00378,5,0.294,-3.912,0,0.0531,138.009,4,0.179,59
"26",85530," Steven Vegas","Danger "," Mark Sixma","The Clock ","steven vegas danger","mark sixma the clock",1,"Steven Vegas","Danger",0.00298,0.699,172695,0.971,0.888,6,0.34,-3.225,0,0.133,132.088,4,0.0677,10,"Mark Sixma","The Clock (ASOT 891)",0.000882,0.455,144080,0.893,0.826,1,0.576,-7.319,0,0.0965,149.767,4,0.0364,24
"27",85657," Afrojack","Bassride "," Afrojack","Bringin It Back ","afrojack bassride","afrojack bringin it back",1,"Afrojack","Bassride (AIR238)",0.0139,0.59,150000,0.993,0.88,11,0.648,-3.78,0,0.112,128.017,4,0.445,2,"Afrojack","Bringin It Back",0.00211,0.743,161152,0.933,0.353,11,0.122,-3.244,0,0.048,128.007,4,0.459,55
